Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1196946,2026-09-20,2026-09-20,,"The Mentalist","The Mentalist",https://www.imdb.com/title/tt1196946/,TV Series,8.2,43,2008,"Crime, Drama, Mystery, Thriller",250753,2009-02,,,
2,tt0944947,2026-09-20,2026-09-20,,"Taht Oyunları","Game of Thrones",https://www.imdb.com/title/tt0944947/,TV Series,9.2,60,2011,"Drama, Fantasy",2664120,2011-09-18,,,
3,tt0903747,2026-09-20,2026-09-20,,"Breaking Bad","Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,48,2008,"Crime, Drama, Thriller",2678968,2008-01-20,,,
4,tt0141842,2026-09-20,2026-09-20,,"The Sopranos","The Sopranos",https://www.imdb.com/title/tt0141842/,TV Series,9.2,55,1999,"Crime, Drama",597207,2000-12-07,,,
5,tt1844624,2026-09-20,2026-09-20,,"American Horror Story","American Horror Story",https://www.imdb.com/title/tt1844624/,TV Series,7.9,60,2011,"Drama, Horror, Sci-Fi, Thriller",365100,2011-10-05,,,
6,tt0185906,2026-09-20,2026-09-20,,"Kardeşler Takımı","Band of Brothers",https://www.imdb.com/title/tt0185906/,TV Mini Series,9.4,60,2001,"Action, Drama, History, War",605459,2002-03-14,,,
7,tt1520211,2026-09-20,2026-09-20,,"The Walking Dead","The Walking Dead",https://www.imdb.com/title/tt1520211/,TV Series,8.1,45,2010,"Drama, Horror, Thriller",1214732,2010-11-04,,,
8,tt2560140,2026-09-20,2026-09-20,,"Attack on Titan","Shingeki no kyojin",https://www.imdb.com/title/tt2560140/,TV Series,9.1,24,2013,"Animation, Action, Adventure, Drama, Fantasy, Horror",748058,2013-04-07,,,
9,tt2861424,2026-09-20,2026-09-20,,"Rick ve Morty","Rick and Morty",https://www.imdb.com/title/tt2861424/,TV Series,9.0,23,2013,"Animation, Adventure, Comedy, Sci-Fi",713074,2013-12-02,,,
10,tt3032476,2026-09-20,2026-09-20,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",865011,2016-09-22,,,
11,tt0386676,2026-09-20,2026-09-20,,"The Office","The Office",https://www.imdb.com/title/tt0386676/,TV Series,9.0,22,2005,"Comedy",850964,2005-03-24,,,
12,tt0306414,2026-09-20,2026-09-20,,"The Wire","The Wire",https://www.imdb.com/title/tt0306414/,TV Series,9.3,60,2002,"Crime, Drama, Thriller",439555,2002-06-02,,,
13,tt0773262,2026-09-20,2026-09-20,,"Dexter","Dexter",https://www.imdb.com/title/tt0773262/,TV Series,8.6,60,2006,"Crime, Drama, Mystery, Thriller",955900,2006-10-01,,,
14,tt33043892,2026-09-20,2026-09-20,,"Dexter: Resurrection","Dexter: Resurrection",https://www.imdb.com/title/tt33043892/,TV Series,9.0,50,2025,"Crime, Drama, Mystery, Thriller",156603,2025-07-11,,,
15,tt4574334,2026-09-20,2026-09-20,,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334/,TV Series,8.6,60,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1740299,2016-07-15,,,
